           timestamp  discovered      queued   downloaded       doc/s(avg)  KB/s(avg)   dl-failures   busy-thread   mem-use-KB  heap-size-KB   congestion   max-depth   avg-depth
2013-11-13T07:42:55Z           0           0            0             0(?)       0(0)             0             0        25649         45516            0          -1           0
2013-11-13T07:42:58Z CRAWL RUNNING - Preparing
2013-11-13T07:42:59Z           1           1            0             0(0)       0(0)             0             0        40105         45516            ?           1           1
2013-11-13T07:42:59Z CRAWL PAUSED - Paused
2013-11-13T07:43:06Z CRAWL RUNNING - Running
2013-11-13T07:43:15Z           4           2            2       0.13(0.19)       0(0)             0             1        42720         45516            1           2           2
2013-11-13T07:43:35Z        2190        2024          158       7.79(5.13)   158(102)             0            25        58608         65088         2.87         346          15
2013-11-13T07:43:55Z        4712        3779          713     27.79(14.05)   545(277)             0             4        59716         65088            1         802          41
2013-11-13T07:44:15Z        4762        3607          935      11.1(13.21)   230(263)             0             2        50205         65088            1         796         100
2013-11-13T07:44:35Z        4849        3556         1072      6.85(11.81)   135(235)             0             3        52305         65088            1         803         118
2013-11-13T07:44:55Z        4850        3463         1165      4.65(10.52)    90(209)             0             1        52294         65088            1         797         157
2013-11-13T07:45:15Z        4852        3415         1215        2.5(9.29)    61(186)             0             1        51369         65088            1         790         200
2013-11-13T07:45:35Z        4880        3402         1256       2.05(8.33)    30(166)             0             1        52661         65088            1         784         200
2013-11-13T07:45:55Z        4886        3362         1302        2.3(7.62)    51(152)             0             0        53893         65088            1         778         197
2013-11-13T07:46:15Z        4887        3328         1337       1.75(7.01)    21(138)             0             0        53078         65088            1         771         208
2013-11-13T07:46:35Z        4895        3300         1373        1.8(6.51)    46(130)             0             0        56164         65088            1         765         206
2013-11-13T07:46:55Z        4933        3306         1405        1.6(6.09)    36(122)             0             2        57289         65088            1         759         220
2013-11-13T07:47:15Z        4933        3281         1430        1.25(5.7)    18(113)             0             0        55567         65088            1         759         234
2013-11-13T07:47:35Z        4944        3268         1454        1.2(5.37)    15(106)             0             0        53857         65088            1         758         251
2013-11-13T07:47:55Z        4944        3238         1484         1.5(5.1)    17(100)             0             0        54365         65088            1         751         269
2013-11-13T07:48:15Z        4944        3216         1506        1.1(4.85)     16(95)             0             0        53380         65088            1         745         268
2013-11-13T07:48:30Z CRAWL WAITING - Pausing - Waiting for threads to finish
2013-11-13T07:48:31Z        5020        3257         1541        2.2(4.72)     18(91)             0             0        57264         65088            1         740         171
2013-11-13T07:48:31Z CRAWL PAUSED - Paused
2013-11-13T07:48:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        57277         65088            1         740         171
2013-11-13T07:48:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        57308         65088            1         740         171
2013-11-13T07:49:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        57328         65088            1         740         171
2013-11-13T07:49:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54794         65088            1         740         171
2013-11-13T07:49:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54630         65088            1         740         171
2013-11-13T07:50:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54648         65088            1         740         171
2013-11-13T07:50:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54660         65088            1         740         171
2013-11-13T07:50:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54676         65088            1         740         171
2013-11-13T07:51:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54690         65088            1         740         171
2013-11-13T07:51:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54704         65088            1         740         171
2013-11-13T07:51:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54722         65088            1         740         171
2013-11-13T07:52:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54736         65088            1         740         171
2013-11-13T07:52:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54749         65088            1         740         171
2013-11-13T07:52:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54765         65088            1         740         171
2013-11-13T07:53:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54781         65088            1         740         171
2013-11-13T07:53:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54793         65088            1         740         171
2013-11-13T07:53:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54811         65088            1         740         171
2013-11-13T07:54:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54827         65088            1         740         171
2013-11-13T07:54:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54839         65088            1         740         171
2013-11-13T07:54:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54855         65088            1         740         171
2013-11-13T07:55:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54870         65088            1         740         171
2013-11-13T07:55:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54885         65088            1         740         171
2013-11-13T07:55:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54901         65088            1         740         171
2013-11-13T07:56:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54917         65088            1         740         171
2013-11-13T07:56:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54931         65088            1         740         171
2013-11-13T07:56:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54944         65088            1         740         171
2013-11-13T07:57:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        54962         65088            1         740         171
2013-11-13T07:57:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        54976         65088            1         740         171
2013-11-13T07:57:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        54990         65088            1         740         171
2013-11-13T07:58:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        55007         65088            1         740         171
2013-11-13T07:58:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        55018         65088            1         740         171
2013-11-13T07:58:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        55036         65088            1         740         171
2013-11-13T07:59:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        55050         65088            1         740         171
2013-11-13T07:59:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        55064         65088            1         740         171
2013-11-13T07:59:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        55082         65088            1         740         171
2013-11-13T08:00:15Z        5020        3257         1541          0(4.72)      0(91)             0             0        55095         65088            1         740         171
2013-11-13T08:00:35Z        5020        3257         1541          0(4.72)      0(91)             0             0        55109         65088            1         740         171
2013-11-13T08:00:55Z        5020        3257         1541          0(4.72)      0(91)             0             0        55125         65088            1         740         171
