[#urls] [#bytes] [host] [#robots] [#remaining] [#novel-urls] [#novel-bytes] [#dup-by-hash-urls] [#dup-by-hash-bytes] [#not-modified-urls] [#not-modified-bytes]
175 45217 dns: 0 1 175 45217 0 0 0 0 
94 2175097 finance.sina.com.cn 0 147 94 2175097 0 0 0 0 
94 1819492 i1.sinaimg.cn 0 734 94 1819492 0 0 0 0 
85 1396487 i0.sinaimg.cn 0 681 85 1396487 0 0 0 0 
67 1524561 i3.sinaimg.cn 0 740 67 1524561 0 0 0 0 
46 2358110 vipbook.sinaedge.com 0 0 46 2358110 0 0 0 0 
39 241548 mobile.sina.com.cn 0 0 39 241548 0 0 0 0 
38 394743 d1.sina.com.cn 0 0 38 394743 0 0 0 0 
36 324101 ad4.sina.com.cn 0 0 36 324101 0 0 0 0 
29 728724 stock2.finance.sina.com.cn 0 0 29 728724 0 0 0 0 
26 389348 rm.sina.com.cn 0 0 26 389348 0 0 0 0 
25 250432 d3.sina.com.cn 0 0 25 250432 0 0 0 0 
25 1317757 news.sina.com.cn 2 0 25 1317757 0 0 0 0 
23 306688 d2.sina.com.cn 0 0 23 306688 0 0 0 0 
23 316271 service.mix.sina.com.cn 0 0 23 316271 0 0 0 0 
23 672923 src.house.sina.com.cn 0 0 23 672923 0 0 0 0 
21 96946 p.v.iask.com 0 0 21 96946 0 0 0 0 
18 321348 d5.sina.com.cn 0 0 18 321348 0 0 0 0 
17 82804 i2.sinaimg.cn 0 703 17 82804 0 0 0 0 
17 121471 img.t.sinajs.cn 0 0 17 121471 0 0 0 0 
17 1013009 sports.sina.com.cn 0 0 17 1013009 0 0 0 0 
13 22583 image.sinajs.cn 0 0 13 22583 0 0 0 0 
12 128167 www.sinaimg.cn 0 8 12 128167 0 0 0 0 
11 672978 auto.sina.com.cn 0 0 11 672978 0 0 0 0 
11 198576 d4.sina.com.cn 0 0 11 198576 0 0 0 0 
11 840921 ent.sina.com.cn 0 0 11 840921 0 0 0 0 
11 71443 pfp.sina.com.cn 0 0 11 71443 0 0 0 0 
10 250718 i.sso.sina.com.cn 0 0 10 250718 0 0 0 0 
10 40461 login.sina.com.cn 0 0 10 40461 0 0 0 0 
10 413442 widget.weibo.com 0 0 10 413442 0 0 0 0 
9 298407 2004.sina.com.cn 0 0 9 298407 0 0 0 0 
9 643599 astro.sina.com.cn 0 0 9 643599 0 0 0 0 
9 101148 php.weather.sina.com.cn 0 0 9 101148 0 0 0 0 
9 214605 portrait1.sinaimg.cn 0 0 9 214605 0 0 0 0 
9 469482 tech.sina.com.cn 0 0 9 469482 0 0 0 0 
9 188867 weather.news.sina.com.cn 0 0 9 188867 0 0 0 0 
8 166621 2002.sina.com.cn 0 0 8 166621 0 0 0 0 
8 502290 2008.sina.com.cn 0 0 8 502290 0 0 0 0 
8 921617 2012.sina.com.cn 0 0 8 921617 0 0 0 0 
8 761899 baby.sina.com.cn 0 0 8 761899 0 0 0 0 
7 279303 2006.sina.com.cn 0 0 7 279303 0 0 0 0 
7 61232 cache.house.sina.com.cn 0 0 7 61232 0 0 0 0 
7 87671 house.sina.com.cn 0 0 7 87671 0 0 0 0 
7 5046 mark.sina.com.cn 0 0 7 5046 0 0 0 0 
7 22256 pic2.esf.leju.com 0 0 7 22256 0 0 0 0 
7 28532 weibo.com 0 0 7 28532 0 0 0 0 
6 327507 edu.sina.com.cn 0 0 6 327507 0 0 0 0 
6 621 hq.sinajs.cn 0 0 6 621 0 0 0 0 
6 56619 vip.stock.finance.sina.com.cn 0 0 6 56619 0 0 0 0 
6 698346 www.sina.com.cn 0 0 6 698346 0 0 0 0 
5 1329 118.adsina.allyes.com 0 0 5 1329 0 0 0 0 
5 1329 433.adsina.allyes.com 0 0 5 1329 0 0 0 0 
5 1329 604.adsina.allyes.com 0 0 5 1329 0 0 0 0 
5 292489 bj.house.sina.com.cn 0 0 5 292489 0 0 0 0 
5 1676 counter.sina.com.cn 0 0 5 1676 0 0 0 0 
5 408993 eladies.sina.com.cn 0 0 5 408993 0 0 0 0 
5 948646 games.sina.com.cn 0 0 5 948646 0 0 0 0 
5 222705 video.sina.com.cn 0 0 5 222705 0 0 0 0 
5 113066 yayun2002.sina.com.cn 0 0 5 113066 0 0 0 0 
4 2041 1096.adsina.allyes.com 0 0 4 2041 0 0 0 0 
4 2039 1274.adsina.allyes.com 0 0 4 2039 0 0 0 0 
4 2047 1276.adsina.allyes.com 0 0 4 2047 0 0 0 0 
4 2018 156.adsina.allyes.com 0 0 4 2018 0 0 0 0 
4 2013 159.adsina.allyes.com 0 0 4 2013 0 0 0 0 
4 2028 161.adsina.allyes.com 0 0 4 2028 0 0 0 0 
4 2025 164.adsina.allyes.com 0 0 4 2025 0 0 0 0 
4 2030 165.adsina.allyes.com 0 0 4 2030 0 0 0 0 
4 1980 44.adsina.allyes.com 0 0 4 1980 0 0 0 0 
4 1982 45.adsina.allyes.com 0 0 4 1982 0 0 0 0 
4 1982 49.adsina.allyes.com 0 0 4 1982 0 0 0 0 
4 1982 51.adsina.allyes.com 0 0 4 1982 0 0 0 0 
4 1980 53.adsina.allyes.com 0 0 4 1980 0 0 0 0 
4 1982 59.adsina.allyes.com 0 0 4 1982 0 0 0 0 
4 1986 60.adsina.allyes.com 0 0 4 1986 0 0 0 0 
4 2017 66.adsina.allyes.com 0 0 4 2017 0 0 0 0 
4 2028 742.adsina.allyes.com 0 0 4 2028 0 0 0 0 
4 2032 749.adsina.allyes.com 0 0 4 2032 0 0 0 0 
4 1987 75.adsina.allyes.com 0 0 4 1987 0 0 0 0 
4 2036 757.adsina.allyes.com 0 0 4 2036 0 0 0 0 
4 2032 758.adsina.allyes.com 0 0 4 2032 0 0 0 0 
4 2139 759.adsina.allyes.com 0 0 4 2139 0 0 0 0 
4 2030 822.adsina.allyes.com 0 0 4 2030 0 0 0 0 
4 2042 823.adsina.allyes.com 0 0 4 2042 0 0 0 0 
4 2032 824.adsina.allyes.com 0 0 4 2032 0 0 0 0 
4 2036 846.adsina.allyes.com 0 0 4 2036 0 0 0 0 
4 643947 book.sina.com.cn 0 0 4 643947 0 0 0 0 
4 270226 cul.history.sina.com.cn 0 0 4 270226 0 0 0 0 
4 231969 mil.news.sina.com.cn 0 0 4 231969 0 0 0 0 
4 82711 p1.sinaimg.cn 0 0 4 82711 0 0 0 0 
4 47423 p1.v.iask.com 0 0 4 47423 0 0 0 0 
4 111068 service.t.sina.com.cn 0 0 4 111068 0 0 0 0 
4 12790 timg.sjs.sinajs.cn 0 0 4 12790 0 0 0 0 
4 17311 top.finance.sina.com.cn 0 0 4 17311 0 0 0 0 
4 190017 torch.2008.sina.com.cn 0 0 4 190017 0 0 0 0 
3 8355 api.sina.com.cn 0 0 3 8355 0 0 0 0 
3 115243 comic.book.sina.com.cn 0 0 3 115243 0 0 0 0 
3 1767 cul.book.sina.com.cn 0 0 3 1767 0 0 0 0 
3 16708 d1.leju.com 0 0 3 16708 0 0 0 0 
3 203845 f1.sina.com.cn 0 0 3 203845 0 0 0 0 
3 86208 get.adobe.com 0 0 3 86208 0 0 0 0 
3 214424 golf.sina.com.cn 0 0 3 214424 0 0 0 0 
3 1404 home.sina.com.cn 0 0 3 1404 0 0 0 0 
3 1666 iask.com 0 0 3 1666 0 0 0 0 
3 8013 img.adbox.sina.com.cn 0 0 3 8013 0 0 0 0 
3 25990 ipad.sina.com.cn 0 0 3 25990 0 0 0 0 
3 4875 keyword.sina.com.cn 0 0 3 4875 0 0 0 0 
3 240270 money.sina.com.cn 0 0 3 240270 0 0 0 0 
3 43450 p5.sinaimg.cn 0 0 3 43450 0 0 0 0 
3 35605 rss.sina.com.cn 0 0 3 35605 0 0 0 0 
3 33028 shidefc.sina.com.cn 0 0 3 33028 0 0 0 0 
3 1441 sina.com.cn 0 0 3 1441 0 0 0 0 
3 1959 sina.wrating.com 0 0 3 1959 0 0 0 0 
3 137380 sinastorage.com 0 0 3 137380 0 0 0 0 
3 31565 stock.finance.sina.com.cn 0 0 3 31565 0 0 0 0 
3 7801 top.book.sina.com.cn 0 0 3 7801 0 0 0 0 
3 106248 weiqi.sina.com.cn 0 0 3 106248 0 0 0 0 
3 231103 woman.sina.com.cn 0 0 3 231103 0 0 0 0 
3 25183 www.sina.com 0 0 3 25183 0 0 0 0 
3 209600 yayun2006.sina.com.cn 0 0 3 209600 0 0 0 0 
3 174590 yue.sina.com.cn 0 0 3 174590 0 0 0 0 
2 986 beacon.sina.com.cn 0 5 2 986 0 0 0 0 
2 862 count.kandian.com 0 0 2 862 0 0 0 0 
2 3400 cs.sina.com.cn 0 0 2 3400 0 0 0 0 
2 38713 d0.sina.com.cn 0 0 2 38713 0 0 0 0 
2 38704 d7.sina.com.cn 0 0 2 38704 0 0 0 0 
2 38578 d8.sina.com.cn 0 0 2 38578 0 0 0 0 
2 38713 d9.sina.com.cn 0 0 2 38713 0 0 0 0 
2 6718 hi.photo.sina.com.cn 0 0 2 6718 0 0 0 0 
2 66284 iask.sina.com.cn 0 7 2 66284 0 0 0 0 
2 1034 int.dpool.sina.com.cn 0 0 2 1034 0 0 0 0 
2 973 ip.house.sina.com.cn 0 0 2 973 0 0 0 0 
2 20476 money.finance.sina.com.cn 0 0 2 20476 0 0 0 0 
2 10341 music.sina.com.cn 0 0 2 10341 0 0 0 0 
2 42933 others.sports.sina.com.cn 0 0 2 42933 0 0 0 0 
2 44721 p3.sinaimg.cn 0 0 2 44721 0 0 0 0 
2 21532 p4.v.iask.com 0 0 2 21532 0 0 0 0 
2 4341 pfpip.sina.com 0 0 2 4341 0 0 0 0 
2 4077 pfpip.sina.com.cn 0 0 2 4077 0 0 0 0 
2 1200 photo.auto.sina.com.cn 0 0 2 1200 0 0 0 0 
2 32820 prod.insurance.finance.sina.com.cn 0 0 2 32820 0 0 0 0 
2 4744 pub.iask.sina.com.cn 0 0 2 4744 0 0 0 0 
2 2153 qa.auto.sina.com.cn 0 0 2 2153 0 0 0 0 
2 644 sina.allyes.com 0 0 2 644 0 0 0 0 
2 2011 survey.news.sina.com.cn 0 0 2 2011 0 0 0 0 
2 1285 t.auto.sina.com.cn 0 0 2 1285 0 0 0 0 
2 6997 top.edu.sina.com.cn 0 0 2 6997 0 0 0 0 
2 7426 top.news.sina.com.cn 0 0 2 7426 0 0 0 0 
2 4680 top.sports.sina.com.cn 0 0 2 4680 0 0 0 0 
2 4391 top.video.sina.com.cn 0 0 2 4391 0 0 0 0 
2 16262 traffic.house.sina.com.cn 0 0 2 16262 0 0 0 0 
2 2884 travel.sina.com.cn 0 0 2 2884 0 0 0 0 
2 1715 v.sina.com.cn 0 0 2 1715 0 0 0 0 
2 3640 vip.astro.sina.com.cn 0 0 2 3640 0 0 0 0 
2 42850 www.4000608600.com 0 0 2 42850 0 0 0 0 
2 7092 www.adobe.com 0 0 2 7092 0 0 0 0 
2 18426 www.kitco.cn 0 2 2 18426 0 0 0 0 
2 799 www.macromedia.com 0 0 2 799 0 0 0 0 
2 12396 www.sharelynx.com 0 2 2 12396 0 0 0 0 
2 8332 wwwimages.adobe.com 0 0 2 8332 0 0 0 0 
1 279 active.macromedia.com 1 0 1 279 0 0 0 0 
1 272 ad.doubleclick.net 1 0 1 272 0 0 0 0 
1 334 api.t.sina.com.cn 1 0 1 334 0 0 0 0 
1 279 download.macromedia.com 1 0 1 279 0 0 0 0 
1 438 image2.sina.com.cn 0 200 1 438 0 0 0 0 
1 252 secure-cn.imrworldwide.com 2 0 1 252 0 0 0 0 
1 252 secure-us.imrworldwide.com 2 0 1 252 0 0 0 0 
1 707 tp1.sinaimg.cn 39 0 1 707 0 0 0 0 
1 626 tp2.sinaimg.cn 67 0 1 626 0 0 0 0 
1 482 tp3.sinaimg.cn 34 0 1 482 0 0 0 0 
1 803 tp4.sinaimg.cn 75 0 1 803 0 0 0 0 
0 0 bgm.sina.com.cn 0 2 0 0 0 0 0 0 
0 0 dailynews.sina.com 0 12 0 0 0 0 0 0 
0 0 fpdownload.macromedia.com 0 1 0 0 0 0 0 0 
0 0 image.iask.sina.com.cn 0 3 0 0 0 0 0 0 
0 0 s 0 1 0 0 0 0 0 0 
0 0 ui.sina.com 0 6 0 0 0 0 0 0 
0 0 www.shidefc.com 0 2 0 0 0 0 0 0 
0 0 bgm.sina.com.cn 0 2 0 0 0 0 0 0 
0 0 dailynews.sina.com 0 12 0 0 0 0 0 0 
0 0 fpdownload.macromedia.com 0 1 0 0 0 0 0 0 
0 0 image.iask.sina.com.cn 0 3 0 0 0 0 0 0 
0 0 s 0 1 0 0 0 0 0 0 
0 0 ui.sina.com 0 6 0 0 0 0 0 0 
0 0 www.shidefc.com 0 2 0 0 0 0 0 0 
